38사기동대,백성일,"남들 사는 만큼 평범하게 살아왔고, 남들 일하는 만큼 성실하게 일해온 서원시청 세무 공무원. 동전 한 푼도 허투루 안 쓰면서, 튀지 않으려고, 모난 돌 안되려고 아등바등 소심하게 살아왔다. 온갖 더러운 짓을 하여 악착같이 세금을 내지 않는 대한민국 악질 고액 체납자들에게 울분을 느끼는 평범한 이 시대의 가장. 하지만 불의 앞에 입 다무는 것도, 당하고만 사는 것도 지긋지긋하다."
38사기동대,양정도,"뇌가 섹시한 사기꾼. 남녀노소 안 가리고 눈 돌아가게 만드는 꽃미모와 비상한 두뇌, 재빠른 판단력, 누구라도 홀리는 대담한 말빨까지. 사기가 일상이고 일상이 사기인 천부적인 사기꾼. 그러던 어느 날 평범하고 소심한 공무원 백성일에게 사기를 치다 꼬리를 밟히고 감옥에 갈 일생일대의 위기에 처하게 되는데... 하지만 사기꾼이 괜히 사기꾼인가! 백성일이 전전긍긍하고 있는 체납자들의 세금을 대신 받아주겠노라 제안하는 정도."
38사기동대,천성희,"하늘의 선택을 받아야 길이 보인다는 공무원 시험에 반년 만에 합격한 수재이자 열정 넘치는 청춘. 서원시청 세금징수국에서 일하며 고액 체납자들에게 욕을 먹고, 머리채를 잡히는 것 따윈 이젠 아무렇지 않다. 아니 오히려 화가 난다. 센 놈한텐 약하고 약한 놈한텐 강한 법이, 돈이, 세상이 너무 싫다. 소심해 보이지만 강단 있고 사명감 있는 선배 백성일을 누구보다 믿고 따르는 그녀."
38사기동대,노방실,지갑. 건물 재테크에 천부적인 재능을 가져 사람들에게 빌딩 도사로 불리는 그녀. 38 사기동대팀의 든든한 쩐주가 되어 각종 사기 사건에 필요한 물밑 자금과 활동을 돕는다.
38사기동대,장학주,"대포. 마장동에 위치한 대형 대포 조직의 사장으로 대포폰, 대포통장 같은 각종 대포 물건들을 만든다. 단순한 성격에 순진한 구석도 있으며, 셀카를 찍어 SNS에 허세 글을 남기는 게 취미인 남자."
38사기동대,정자왕,"키보드. 나이는 20대 초반이지만 외모는 30대 중반인, 한마디로 세상 풍파를 다 얼굴로 맞은 청년. 뛰어난 컴퓨터 실력으로 각종 피싱 사이트를 만들고 체납자들의 정보를 빼 오는 역할을 맡는다."
38사기동대,조미주,"꽃뱀. 어린 시절, 다단계 회사에서 빠져나올 수 있게 도와준 양정도를 따라 사기꾼이 된 그녀. 정도와 함께 할 수 있다는 이유만으로 38 사기동대팀에 합류했으나 끝끝내 속내를 숨기고 있는 중. 팀 내에서 매력적인 외모와 다양한 연기를 무기로 체납자들에 접근하는 역할을 맡고 있다."
38사기동대,최지연,노방실의 딸이자 수행비서. 속전속결 깔끔한 일처리로 38 사기동대의 작전을 돕는다.
38사기동대,천갑수,"항상 서민만 바라보며, 서민을 위한 시정을 수행하는 서원시의 시장. 과거 세금징수국의 수장이었으나 선거에 출마하여 현재 시장이 되었다. 훌륭한 시정 운영으로 시민들에게 존경을 받는다."
38사기동대,안태욱,젊은 나이에 빠르게 승진한 냉철한 실력자이자 실적 지상주의자. 백성일의 세금징수 3과 실적이 가장 뒤처지는 것을 못마땅하게 여겨 선배임에도 백성일만 보면 쥐잡듯이 잡아대기 바쁘다.
38사기동대,강노승,징수국 원년 멤버로 징수 3과 백성일 과장과는 눈빛만 봐도 통하는 사이. 안전하게 정년을 맞아 꼬박꼬박 나오는 연금을 타 먹으면서 사는 것이 삶의 목표.
38사기동대,안창호,세금징수국 청년 일자리 직원.
38사기동대,박조사관,세금징수국 3과 조사관.
38사기동대,김조사관,세금징수국 3과 조사관.
38사기동대,박덕배,백성일의 오랜 친구인 강력반 열혈 형사. 성일이 힘들 때마다 찾아가 위로를 해주는 인물로 38 사기동대팀이 잡아 온 고액 체납자들의 형사 처벌을 담당하는 마무리 투수 같은 존재.
38사기동대,사재성,"과거 양정도를 검거해 교도소로 보냈던 형사. 38 사기동대팀의 결성 후 움직임이 포착되자, 정도를 의심하며 그의 주위를 맴돈다."
38사기동대,최철우,전 우향그룹 대표. 악덕 체납의 끝판왕.
38사기동대,방필규,다단계 기업의 회장으로 거대한 검은 돈의 실체 최철우의 오른팔.
